outlet_id,outlet_name,outlet_type,city,area,channel
OL-001,W Kirana,supermarket,Nashik,Wakad,supermarket
OL-002,F Medical & Grocery,kirana,Nashik,Kothrud,kirana
OL-003,M Supermarket,medical,Nashik,Shivajinagar,medical
OL-004,C Medical & Grocery,supermarket,Pune,Aundh,supermarket
OL-005,D Kirana,kirana,Pune,Hadapsar,kirana
OL-006,X Supermarket,kirana,Pune,Shivajinagar,kirana
OL-007,E Supermarket,supermarket,Pune,Kothrud,supermarket
OL-008,C General Store,supermarket,Nashik,Nashik Road,supermarket
OL-009,K Mart,medical,Nashik,Kothrud,medical
OL-010,E Medical & Grocery,medical,Pune,Kothrud,medical
OL-011,S Kirana,medical,Pune,Wakad,medical
OL-012,N Supermarket,supermarket,Pune,Wakad,supermarket
OL-013,M Medical & Grocery,medical,Pune,Hadapsar,medical
OL-014,A General Store,kirana,Nashik,Kothrud,kirana
OL-015,M Mart,kirana,Nashik,Gangapur,kirana
OL-016,A Supermarket,medical,Pune,Shivajinagar,medical
OL-017,H Mart,kirana,Pune,Hadapsar,kirana
OL-018,J Kirana,medical,Nashik,Aundh,medical
OL-019,Z General Store,supermarket,Pune,Hadapsar,supermarket
OL-020,Y Medical & Grocery,medical,Nashik,Shivajinagar,medical
OL-021,X Medical & Grocery,supermarket,Nashik,Hadapsar,supermarket
OL-022,B General Store,medical,Pune,Hadapsar,medical
OL-023,B Kirana,kirana,Pune,Hadapsar,kirana
OL-024,T Supermarket,supermarket,Nashik,Hadapsar,supermarket
OL-025,L General Store,kirana,Pune,Shivajinagar,kirana
OL-026,T Supermarket,kirana,Pune,Shivajinagar,kirana
OL-027,D Medical & Grocery,kirana,Pune,Gangapur,kirana
OL-028,W Kirana,kirana,Nashik,Nashik Road,kirana
OL-029,Q Medical & Grocery,kirana,Nashik,Wakad,kirana
OL-030,E Medical & Grocery,kirana,Nashik,Aundh,kirana
OL-031,F Mart,kirana,Nashik,Shivajinagar,kirana
OL-032,Y Mart,medical,Pune,Gangapur,medical
OL-033,N Supermarket,medical,Nashik,Wakad,medical
OL-034,Z Mart,medical,Pune,Kothrud,medical
OL-035,R Kirana,medical,Pune,Kothrud,medical
OL-036,H Kirana,supermarket,Pune,Nashik Road,supermarket
OL-037,K Supermarket,kirana,Nashik,Kothrud,kirana
OL-038,D General Store,kirana,Pune,Hadapsar,kirana
OL-039,S Mart,kirana,Pune,Gangapur,kirana
OL-040,N Supermarket,kirana,Nashik,Shivajinagar,kirana
OL-041,N General Store,kirana,Nashik,Shivajinagar,kirana
OL-042,G Medical & Grocery,kirana,Nashik,Aundh,kirana
OL-043,S General Store,medical,Nashik,Nashik Road,medical
OL-044,K Medical & Grocery,supermarket,Nashik,Nashik Road,supermarket
OL-045,Z Kirana,supermarket,Pune,Shivajinagar,supermarket
OL-046,F Medical & Grocery,kirana,Pune,Shivajinagar,kirana
OL-047,P General Store,supermarket,Nashik,Nashik Road,supermarket
OL-048,U General Store,medical,Pune,Shivajinagar,medical
OL-049,F Supermarket,kirana,Nashik,Aundh,kirana
OL-050,T Kirana,medical,Nashik,Nashik Road,medical
OL-051,D Mart,medical,Nashik,Kothrud,medical
OL-052,Z Kirana,supermarket,Pune,Nashik Road,supermarket
OL-053,A Supermarket,kirana,Pune,Kothrud,kirana
OL-054,W Kirana,supermarket,Pune,Shivajinagar,supermarket
OL-055,J Mart,supermarket,Nashik,Hadapsar,supermarket
OL-056,V Medical & Grocery,kirana,Pune,Wakad,kirana
OL-057,K Kirana,supermarket,Pune,Wakad,supermarket
OL-058,C Medical & Grocery,kirana,Pune,Nashik Road,kirana
OL-059,U Medical & Grocery,supermarket,Pune,Aundh,supermarket
OL-060,W Mart,kirana,Pune,Hadapsar,kirana
OL-061,V General Store,medical,Pune,Aundh,medical
OL-062,D Kirana,medical,Pune,Aundh,medical
OL-063,D Mart,supermarket,Nashik,Shivajinagar,supermarket
OL-064,N Medical & Grocery,medical,Pune,Aundh,medical
OL-065,V Supermarket,medical,Nashik,Gangapur,medical
OL-066,B Supermarket,kirana,Pune,Wakad,kirana
OL-067,N Mart,medical,Pune,Gangapur,medical
OL-068,U Supermarket,kirana,Nashik,Hadapsar,kirana
OL-069,E Mart,medical,Nashik,Aundh,medical
OL-070,T Kirana,supermarket,Pune,Shivajinagar,supermarket
OL-071,F General Store,kirana,Pune,Kothrud,kirana
OL-072,F General Store,kirana,Pune,Gangapur,kirana
OL-073,R General Store,kirana,Pune,Nashik Road,kirana
OL-074,G Kirana,medical,Pune,Wakad,medical
OL-075,R Kirana,supermarket,Nashik,Gangapur,supermarket
OL-076,K Kirana,kirana,Nashik,Gangapur,kirana
OL-077,Q Supermarket,supermarket,Pune,Kothrud,supermarket
OL-078,A Kirana,supermarket,Pune,Hadapsar,supermarket
OL-079,R Medical & Grocery,kirana,Pune,Kothrud,kirana
OL-080,U Supermarket,kirana,Pune,Wakad,kirana
OL-081,S General Store,medical,Pune,Nashik Road,medical
OL-082,T Supermarket,kirana,Nashik,Gangapur,kirana
OL-083,Y Mart,supermarket,Pune,Kothrud,supermarket
OL-084,Y General Store,medical,Nashik,Hadapsar,medical
